,year,quarter,count,company_code,pub_code
0,1995,1,0,moveit,sfusat
1,1995,2,0,moveit,sfusat
2,1995,3,0,moveit,sfusat
3,1995,4,0,moveit,sfusat
4,1996,1,0,moveit,sfusat
5,1996,2,0,moveit,sfusat
6,1996,3,0,moveit,sfusat
7,1996,4,0,moveit,sfusat
8,1997,1,0,moveit,sfusat
9,1997,2,0,moveit,sfusat
10,1997,3,0,moveit,sfusat
11,1997,4,0,moveit,sfusat
12,1998,1,0,moveit,sfusat
13,1998,2,0,moveit,sfusat
14,1998,3,0,moveit,sfusat
15,1998,4,0,moveit,sfusat
16,1999,1,0,moveit,sfusat
17,1999,2,0,moveit,sfusat
18,1999,3,0,moveit,sfusat
19,1999,4,0,moveit,sfusat
20,2000,1,0,moveit,sfusat
21,2000,2,0,moveit,sfusat
22,2000,3,0,moveit,sfusat
23,2000,4,0,moveit,sfusat
24,2001,1,0,moveit,sfusat
25,2001,2,0,moveit,sfusat
26,2001,3,0,moveit,sfusat
27,2001,4,0,moveit,sfusat
28,2002,1,0,moveit,sfusat
29,2002,2,0,moveit,sfusat
30,2002,3,0,moveit,sfusat
31,2002,4,0,moveit,sfusat
32,2003,1,0,moveit,sfusat
33,2003,2,0,moveit,sfusat
34,2003,3,0,moveit,sfusat
35,2003,4,0,moveit,sfusat
36,2004,1,0,moveit,sfusat
37,2004,2,0,moveit,sfusat
38,2004,3,0,moveit,sfusat
39,2004,4,0,moveit,sfusat
40,2005,1,0,moveit,sfusat
41,2005,2,0,moveit,sfusat
42,2005,3,0,moveit,sfusat
43,2005,4,0,moveit,sfusat
44,2006,1,0,moveit,sfusat
45,2006,2,0,moveit,sfusat
46,2006,3,0,moveit,sfusat
47,2006,4,0,moveit,sfusat
48,2007,1,0,moveit,sfusat
49,2007,2,0,moveit,sfusat
50,2007,3,0,moveit,sfusat
51,2007,4,0,moveit,sfusat
52,2008,1,0,moveit,sfusat
53,2008,2,0,moveit,sfusat
54,2008,3,0,moveit,sfusat
55,2008,4,0,moveit,sfusat
56,2009,1,0,moveit,sfusat
57,2009,2,0,moveit,sfusat
58,2009,3,0,moveit,sfusat
59,2009,4,0,moveit,sfusat
60,2010,1,0,moveit,sfusat
61,2010,2,0,moveit,sfusat
62,2010,3,0,moveit,sfusat
63,2010,4,0,moveit,sfusat
64,2011,1,0,moveit,sfusat
65,2011,2,0,moveit,sfusat
66,2011,3,0,moveit,sfusat
67,2011,4,0,moveit,sfusat
68,2012,1,0,moveit,sfusat
69,2012,2,0,moveit,sfusat
70,2012,3,0,moveit,sfusat
71,2012,4,0,moveit,sfusat
72,2013,1,0,moveit,sfusat
73,2013,2,0,moveit,sfusat
74,2013,3,0,moveit,sfusat
75,2013,4,0,moveit,sfusat
76,2014,1,0,moveit,sfusat
77,2014,2,0,moveit,sfusat
78,2014,3,0,moveit,sfusat
79,2014,4,0,moveit,sfusat
80,2015,1,0,moveit,sfusat
81,2015,2,0,moveit,sfusat
82,2015,3,0,moveit,sfusat
83,2015,4,0,moveit,sfusat
84,2016,1,0,moveit,sfusat
85,2016,2,0,moveit,sfusat
86,2016,3,0,moveit,sfusat
87,2016,4,0,moveit,sfusat
88,2017,1,0,moveit,sfusat
89,2017,2,0,moveit,sfusat
90,2017,3,0,moveit,sfusat
91,2017,4,0,moveit,sfusat
92,2018,1,0,moveit,sfusat
93,2018,2,0,moveit,sfusat
94,2018,3,0,moveit,sfusat
95,2018,4,0,moveit,sfusat
96,2019,1,0,moveit,sfusat
97,2019,2,0,moveit,sfusat
98,2019,3,0,moveit,sfusat
99,2019,4,0,moveit,sfusat
100,2020,1,0,moveit,sfusat
101,2020,2,0,moveit,sfusat
0,1995,1,0,moveit,sfwsj
1,1995,2,0,moveit,sfwsj
2,1995,3,0,moveit,sfwsj
3,1995,4,0,moveit,sfwsj
4,1996,1,0,moveit,sfwsj
5,1996,2,0,moveit,sfwsj
6,1996,3,0,moveit,sfwsj
7,1996,4,0,moveit,sfwsj
8,1997,1,0,moveit,sfwsj
9,1997,2,0,moveit,sfwsj
