,year,quarter,count,company_code,pub_code
0,1995,1,0,fcaacq,sfusat
1,1995,2,0,fcaacq,sfusat
2,1995,3,0,fcaacq,sfusat
3,1995,4,0,fcaacq,sfusat
4,1996,1,0,fcaacq,sfusat
5,1996,2,0,fcaacq,sfusat
6,1996,3,0,fcaacq,sfusat
7,1996,4,0,fcaacq,sfusat
8,1997,1,0,fcaacq,sfusat
9,1997,2,0,fcaacq,sfusat
10,1997,3,0,fcaacq,sfusat
11,1997,4,0,fcaacq,sfusat
12,1998,1,0,fcaacq,sfusat
13,1998,2,0,fcaacq,sfusat
14,1998,3,0,fcaacq,sfusat
15,1998,4,0,fcaacq,sfusat
16,1999,1,0,fcaacq,sfusat
17,1999,2,0,fcaacq,sfusat
18,1999,3,0,fcaacq,sfusat
19,1999,4,0,fcaacq,sfusat
20,2000,1,0,fcaacq,sfusat
21,2000,2,0,fcaacq,sfusat
22,2000,3,0,fcaacq,sfusat
23,2000,4,0,fcaacq,sfusat
24,2001,1,0,fcaacq,sfusat
25,2001,2,0,fcaacq,sfusat
26,2001,3,0,fcaacq,sfusat
27,2001,4,0,fcaacq,sfusat
28,2002,1,0,fcaacq,sfusat
29,2002,2,0,fcaacq,sfusat
30,2002,3,0,fcaacq,sfusat
31,2002,4,0,fcaacq,sfusat
32,2003,1,0,fcaacq,sfusat
33,2003,2,0,fcaacq,sfusat
34,2003,3,0,fcaacq,sfusat
35,2003,4,0,fcaacq,sfusat
36,2004,1,0,fcaacq,sfusat
37,2004,2,0,fcaacq,sfusat
38,2004,3,0,fcaacq,sfusat
39,2004,4,0,fcaacq,sfusat
40,2005,1,0,fcaacq,sfusat
41,2005,2,0,fcaacq,sfusat
42,2005,3,0,fcaacq,sfusat
43,2005,4,0,fcaacq,sfusat
44,2006,1,0,fcaacq,sfusat
45,2006,2,0,fcaacq,sfusat
46,2006,3,0,fcaacq,sfusat
47,2006,4,0,fcaacq,sfusat
48,2007,1,0,fcaacq,sfusat
49,2007,2,0,fcaacq,sfusat
50,2007,3,0,fcaacq,sfusat
51,2007,4,0,fcaacq,sfusat
52,2008,1,0,fcaacq,sfusat
53,2008,2,0,fcaacq,sfusat
54,2008,3,0,fcaacq,sfusat
55,2008,4,0,fcaacq,sfusat
56,2009,1,0,fcaacq,sfusat
57,2009,2,0,fcaacq,sfusat
58,2009,3,0,fcaacq,sfusat
59,2009,4,0,fcaacq,sfusat
60,2010,1,0,fcaacq,sfusat
61,2010,2,0,fcaacq,sfusat
62,2010,3,0,fcaacq,sfusat
63,2010,4,0,fcaacq,sfusat
64,2011,1,0,fcaacq,sfusat
65,2011,2,0,fcaacq,sfusat
66,2011,3,0,fcaacq,sfusat
67,2011,4,0,fcaacq,sfusat
68,2012,1,0,fcaacq,sfusat
69,2012,2,0,fcaacq,sfusat
70,2012,3,0,fcaacq,sfusat
71,2012,4,0,fcaacq,sfusat
72,2013,1,0,fcaacq,sfusat
73,2013,2,0,fcaacq,sfusat
74,2013,3,0,fcaacq,sfusat
75,2013,4,0,fcaacq,sfusat
76,2014,1,0,fcaacq,sfusat
77,2014,2,0,fcaacq,sfusat
78,2014,3,0,fcaacq,sfusat
79,2014,4,0,fcaacq,sfusat
