,year,quarter,count,company_code,pub_code,,,,,,,,,
0,1995,1,0,natnnl,sfusat,,,,,,,,,
1,1995,2,0,natnnl,sfusat,,,,,,,,,
2,1995,3,0,natnnl,sfusat,,,,,,,,,
3,1995,4,0,natnnl,sfusat,,,,,,,,,
4,1996,1,0,natnnl,sfusat,,,,,,,,,
5,1996,2,0,natnnl,sfusat,,,,,,,,,
6,1996,3,0,natnnl,sfusat,,,,,,,,,
7,1996,4,0,natnnl,sfusat,,,,,,,,,
8,1997,1,0,natnnl,sfusat,,,,,,,,,
9,1997,2,0,natnnl,sfusat,,,,,,,,,
10,1997,3,0,natnnl,sfusat,,,,,,,,,
11,1997,4,0,natnnl,sfusat,,,,,,,,,
12,1998,1,0,natnnl,sfusat,,,,,,,,,
13,1998,2,0,natnnl,sfusat,,,,,,,,,
14,1998,3,0,natnnl,sfusat,,,,,,,,,
15,1998,4,0,natnnl,sfusat,,,,,,,,,
16,1999,1,0,natnnl,sfusat,,,,,,,,,
17,1999,2,0,natnnl,sfusat,,,,,,,,,
18,1999,3,0,natnnl,sfusat,,,,,,,,,
19,1999,4,0,natnnl,sfusat,,,,,,,,,
20,2000,1,0,natnnl,sfusat,,,,,,,,,
21,2000,2,0,natnnl,sfusat,,,,,,,,,
22,2000,3,0,natnnl,sfusat,,,,,,,,,
23,2000,4,0,natnnl,sfusat,,,,,,,,,
24,2001,1,0,natnnl,sfusat,,,,,,,,,
25,2001,2,0,natnnl,sfusat,,,,,,,,,
26,2001,3,0,natnnl,sfusat,,,,,,,,,
27,2001,4,0,natnnl,sfusat,,,,,,,,,
28,2002,1,0,natnnl,sfusat,,,,,,,,,
29,2002,2,0,natnnl,sfusat,,,,,,,,,
30,2002,3,0,natnnl,sfusat,,,,,,,,,
31,2002,4,0,natnnl,sfusat,,,,,,,,,
32,2003,1,0,natnnl,sfusat,,,,,,,,,
33,2003,2,0,natnnl,sfusat,,,,,,,,,
34,2003,3,0,natnnl,sfusat,,,,,,,,,
35,2003,4,0,natnnl,sfusat,,,,,,,,,
36,2004,1,0,natnnl,sfusat,,,,,,,,,
37,2004,2,0,natnnl,sfusat,,,,,,,,,
38,2004,3,0,natnnl,sfusat,,,,,,,,,
39,2004,4,0,natnnl,sfusat,,,,,,,,,
40,2005,1,0,natnnl,sfusat,,,,,,,,,
41,2005,2,0,natnnl,sfusat,,,,,,,,,
42,2005,3,0,natnnl,sfusat,,,,,,,,,
43,2005,4,0,natnnl,sfusat,,,,,,,,,
44,2006,1,0,natnnl,sfusat,,,,,,,,,
45,2006,2,0,natnnl,sfusat,,,,,,,,,
